來源網站,集團,品牌,標題,店家地址,評論標題,發布時間,文章內容,評分,Lat,Lon
Tripadvisor,王品,12MINI,內湖瑞光店,台北市內湖區瑞光路517號1樓,王品新品牌平價小火鍋,2020/2/24,東西蠻不錯吃的也有蠻多種口味可以選擇的，覺得比較特別的是孜然鍋物，湯底蠻好喝並不辣，價位便宜所以裡面用的料大都是加工火鍋料。,3,25.0793862,121.569569
Tripadvisor,王品,12MINI,內湖瑞光店,台北市內湖區瑞光路517號1樓,口味多樣個人鍋,2020/2/20,王品期下的個人鍋品牌，口味多樣化。起司奶奶鍋湯頭濃醇，牛奶鍋上加2片起司，好好吃。番茄豬肉鍋是蕃茄湯底，酸酸甜甜清爽好吃,4,25.0793862,121.569569
Tripadvisor,王品,12MINI,內湖瑞光店,台北市內湖區瑞光路517號1樓,平價火鍋,2020/1/19,石二鍋旗下品牌，這品牌是由吃專人煮好的火鍋，價錢也比石二鍋平了一點，該有的配料、蔬菜及肉類都有，只要$150。,4,25.0793862,121.569569
Tripadvisor,王品,12MINI,內湖瑞光店,台北市內湖區瑞光路517號1樓,Mini鍋平價好吃,2020/1/16,Mini鍋平價又好吃、一鍋單價130-180元可以_肉29肉加倍也才200以內真的吃的很飽！這樣一鍋熱騰騰的火鍋幫你煮好、全店自助式真的很快速流動！好吃美味我點原味豬肉鍋！,4,25.0793862,121.569569
Tripadvisor,王品,12MINI,內湖瑞光店,台北市內湖區瑞光路517號1樓,12mini經典即享鍋,2019/12/10,每次看到都想試看看，今天總算沒有出現預期的人潮沒有排隊人龍。可以直接坐下來點餐。還可以點飲料。餐點ㄧ人份剛剛好。可以剛好填飽肚子，滿足味蕾的享受。,3,25.0793862,121.569569
Tripadvisor,王品,12MINI,台北慶城店,台北市內湖區慶城街1號 B1樓,生意很好,2020/2/29,晚餐時段生意非常好，甚至需要併桌用餐。雖然叫做mini鍋，但是份量其實還是不少，用料也實在豐富，南瓜起司湯底濃郁好喝，吃飽又吃巧。,4,25.0526834,25.0526834
Tripadvisor,王品,12MINI,高雄裕誠店,高雄市左營區裕誠路455-1號,舒適,2020/3/18,130元起就能享有肉片與蔬菜滿滿，有蝦有蛋的多種湯底選擇的個人鍋，整體味道表現也在水準之上；加上用餐環境充滿現代感，座位舒適。,3,22.6655889,120.3048291
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,很特別的裝潢與氛圍,2020/8/9,改良古早味菜餚也不錯，餐廳明亮、用餐氣氛很好，很熱鬧。可惜_有預約手路菜無法讓日本朋友嚐到，下次有機會一定要再去。,5,25.0517249,121.5340222
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,好,2020/6/25,王品旗下的每間餐廳服務一直都很好，菜色也都很好吃，種類也很多，擺設裝潢也都很不錯，值得再訪的店 ，無缺點人都很多。,4,25.0517249,121.5340222
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,Taiwanese restaurant,2020/6/25,王品集團下新品牌的台菜料理餐廳，裝潢也台式復古，道地台菜好吃，上菜速度也快，服務親切客氣，因餐廳位於2樓並無無障礙設施，較不利於行動不便的顧客前往用餐。,4,25.0517249,121.5340222
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,很台的台菜,2020/6/19,把台灣古早的傳統味道一一的展現，讓人重新回到辦桌的場景，足以感受到追求完美味道的堅持，而且現場懷舊佈置與菜色搭配的相得益彰。 值得推薦！,5,25.0517249,121.5340222
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,普普,2020/6/11,"進去時印象很好因為空間很大, 座位不擁擠布置也很有台味,揣測可以帶外國人來但是台客聲音也很大, 相當吵雜兩人份套餐880元不過在挑嘴的台北人中, 欲和其他餐廳競爭可能還要加把勁",3,25.0517249,121.5340222
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,豐禾日麗,2020/6/2,去過2次，最喜歡它的黑麻油燒蛋、功夫芋泥雞、花生豆腐、鳳梨煮茶！它們的白菜滷料多且含膠質，但個人較喜歡清爽的白菜滷。,5,25.0517249,121.5340222
Tripadvisor,王品,豐禾,台北南京東店,台北市中山區南京東路二段146號 2樓,餐廳品牌還沒建構好,2020/5/19,菜色普通，與熱炒點沒有太大差異，上菜速度極慢，環境很吵(很大部分來自廚房)，菜量極少，六人份餐點每盤大約只有1.5人份，有大隻強壯蟑螂，看起來養很久,2,25.0517249,121.5340222
